City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
221,Nemuro,JP,43.3236,145.575,15.8,67,20,3.44,few clouds,2021-01-31 01:13:34
222,Geraldton,AU,-28.7667,114.6,96.8,23,0,17.27,clear sky,2021-01-31 01:21:06
223,Noto,IT,36.8901,15.0693,53.6,93,20,4.61,few clouds,2021-01-31 01:23:18
224,Beni,CD,0.5,29.4667,64.94,79,100,1.63,overcast clouds,2021-01-31 01:23:18
225,Grand Gaube,MU,-20.0064,57.6608,75.99,85,3,3.0,clear sky,2021-01-31 01:13:33
226,Saldanha,ZA,-33.0117,17.9442,63.63,92,0,1.63,clear sky,2021-01-31 01:21:22
227,Iskateley,RU,67.6803,53.1512,1.04,92,99,11.1,overcast clouds,2021-01-31 01:23:19
228,Avarua,CK,-21.2078,-159.775,84.2,70,75,6.91,broken clouds,2021-01-31 01:23:19
229,Coquimbo,CL,-29.9533,-71.3436,64.4,94,90,4.61,overcast clouds,2021-01-31 01:20:36
230,Ornskoldsvik,SE,63.2909,18.7153,14.0,85,90,8.05,light snow,2021-01-31 01:22:05
231,Honolulu,US,21.3069,-157.8583,82.4,47,40,13.8,scattered clouds,2021-01-31 01:23:19
232,New Norfolk,AU,-42.7826,147.0587,75.99,39,6,3.0,clear sky,2021-01-31 01:23:19
233,Vila Velha,BR,-20.3297,-40.2925,78.8,78,75,6.91,broken clouds,2021-01-31 01:18:27
234,Paita,PE,-5.0892,-81.1144,76.26,73,15,15.57,few clouds,2021-01-31 01:23:19
235,Coolum Beach,AU,-26.5333,153.1,82.0,76,3,3.0,clear sky,2021-01-31 01:23:20
236,Portobelo,PA,9.55,-79.65,79.0,99,74,16.26,broken clouds,2021-01-31 01:23:09
237,Halifax,CA,44.6453,-63.5724,17.01,80,55,3.0,broken clouds,2021-01-31 01:23:20
238,Westport,US,41.1415,-73.3579,24.8,42,1,4.61,clear sky,2021-01-31 01:22:47
239,Kedrovyy,RU,56.1667,91.8167,-40.0,74,0,3.74,fog,2021-01-31 01:23:20
240,Mahanoro,MG,-19.9,48.8,75.88,87,2,3.42,clear sky,2021-01-31 01:23:20
241,Abu Dhabi,AE,24.4667,54.3667,66.2,82,0,1.14,clear sky,2021-01-31 01:23:04
242,Kaitangata,NZ,-46.2817,169.8464,61.0,80,100,13.0,overcast clouds,2021-01-31 01:13:25
243,Caravelas,BR,-17.7125,-39.2481,75.36,85,0,5.08,clear sky,2021-01-31 01:23:21
244,Arlit,NE,18.7369,7.3853,60.24,27,0,6.62,clear sky,2021-01-31 01:23:21
245,Akonolinga,CM,3.7667,12.25,67.86,96,100,2.06,overcast clouds,2021-01-31 01:23:21
246,Teya,RU,60.3778,92.6267,-36.69,77,0,1.45,clear sky,2021-01-31 01:23:21
247,Chokurdakh,RU,70.6333,147.9167,-29.6,85,0,8.3,clear sky,2021-01-31 01:19:24
248,Iralaya,HN,15.0,-83.2333,78.8,81,40,8.97,scattered clouds,2021-01-31 01:23:22
249,San Buenaventura,MX,27.0833,-101.5333,70.34,52,0,8.05,clear sky,2021-01-31 01:23:22
250,Hasaki,JP,35.7333,140.8333,46.4,46,20,11.5,few clouds,2021-01-31 01:23:22
251,Sobolevo,RU,54.4299,31.8996,16.25,97,100,4.18,light snow,2021-01-31 01:23:22
252,Aykhal,RU,66.0,111.5,-32.96,80,100,13.0,overcast clouds,2021-01-31 01:13:31
253,Ekhabi,RU,53.5102,142.9671,-4.77,90,100,18.16,overcast clouds,2021-01-31 01:23:22
254,Nanortalik,GL,60.1432,-45.2371,29.19,90,100,11.03,overcast clouds,2021-01-31 01:13:30
255,Bathurst,AU,-33.4166,149.5806,82.0,58,4,1.99,clear sky,2021-01-31 01:23:23
256,Faya,SA,18.3851,42.4509,55.4,66,0,4.61,clear sky,2021-01-31 01:13:46
257,Shizunai,JP,42.3339,142.3669,26.28,88,92,24.94,overcast clouds,2021-01-31 01:23:23
258,Katiola,CI,8.1333,-5.1,78.8,69,0,2.3,clear sky,2021-01-31 01:23:23
259,Seoul,KR,37.5683,126.9778,35.6,51,0,9.22,clear sky,2021-01-31 01:23:23
260,Qaqortoq,GL,60.7167,-46.0333,39.2,30,75,31.07,broken clouds,2021-01-31 01:23:23
261,Espanola,US,35.9911,-106.0806,35.6,41,1,6.51,clear sky,2021-01-31 01:23:24
